ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
1,Juicy,The Notorious B.I.G.,The Notorious B.I.G.,1994,male,140,18,9,3,3,1,2,FALSE,FALSE
2,Fight The Power,Public Enemy,Public Enemy,1989,male,100,11,7,3,1,0,0,FALSE,FALSE
3,Shook Ones (Part II),Mobb Deep,Mobb Deep,1995,male,94,13,4,5,1,1,2,FALSE,TRUE
4,The Message,Grandmaster Flash & The Furious Five,Grandmaster Flash & The Furious Five,1982,male,90,14,5,3,1,0,5,TRUE,FALSE
5,Nuthin’ But A ‘G’ Thang,Dr Dre ft. Snoop Doggy Dogg,Dr Dre ft. Snoop Doggy Dogg,1992,male,84,14,2,4,2,4,2,FALSE,TRUE
6,C.R.E.A.M.,Wu-Tang Clan,Wu-Tang Clan,1993,male,62,10,3,1,1,4,1,FALSE,FALSE
7,93 ’Til Infinity,Souls of Mischief,Souls of Mischief,1993,male,50,7,2,2,2,0,1,TRUE,FALSE
8,Passin’ Me By,The Pharcyde,The Pharcyde,1992,male,48,6,3,2,0,0,1,TRUE,FALSE
9,N.Y. State Of Mind,Nas,Nas,1994,male,46,7,1,3,1,1,1,FALSE,FALSE
10,Dear Mama,2Pac,2Pac,1995,male,42,6,2,1,1,2,0,FALSE,FALSE
11,Runaway,Kanye West ft. Pusha T,Kanye West ft. Pusha T,2010,male,38,5,2,0,3,0,0,TRUE,FALSE
12,Paid In Full,Eric B & Rakim,Eric B & Rakim,1987,male,36,5,1,1,3,0,0,FALSE,FALSE
13,Rapper’s Delight,Sugarhill Gang,Sugarhill Gang,1979,male,36,4,2,2,0,0,0,TRUE,FALSE
14,They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,Pete Rock & C.L. Smooth,1992,male,34,6,1,0,2,3,0,TRUE,FALSE
15,Fuck Tha Police,NWA,NWA,1988,male,32,5,1,1,2,0,1,FALSE,FALSE
16,Electric Relaxation,A Tribe Called Quest,A Tribe Called Quest,1993,male,32,5,0,3,1,0,1,FALSE,FALSE
17,B.O.B.,OutKast,OutKast,2000,male,32,4,2,1,0,1,0,FALSE,FALSE
18,It Was A Good Day,Ice Cube,Ice Cube,1992,male,30,5,2,0,1,0,2,FALSE,TRUE
19,U.N.I.T.Y.,Queen Latifah,Queen Latifah,1993,female,30,5,1,1,1,1,1,TRUE,FALSE
20,Doo Wop (That Thing),Lauryn Hill,Lauryn Hill,1998,female,28,5,1,1,1,0,2,FALSE,TRUE
21,Lose Yourself,Eminem,Eminem,2002,male,28,5,1,1,0,2,1,FALSE,TRUE
22,International Players Anthem,UGK ft. OutKast,UGK ft. OutKast,2007,male,28,4,1,1,1,1,0,TRUE,FALSE
23,Rosa Parks,OutKast,OutKast,1998,male,26,4,0,2,1,1,0,FALSE,FALSE
24,Jesus Walks,Kanye West,Kanye West,2004,male,24,6,0,0,2,2,2,FALSE,FALSE
25,Alright,Kendrick Lamar,Kendrick Lamar,2015,male,22,5,0,1,1,1,2,FALSE,FALSE
26,Grindin’,Clipse,Clipse,2002,male,22,4,1,0,1,1,1,FALSE,TRUE
27,Rebel Without A Pause,Public Enemy,Public Enemy,1988,male,22,4,1,0,1,1,1,FALSE,FALSE
28,Ready Or Not,The Fugees,The Fugees,1996,mixed,22,4,0,0,3,1,0,TRUE,FALSE
29,Protect Ya Neck,Wu-Tang Clan,Wu-Tang Clan,1992,male,22,3,2,0,0,0,1,FALSE,FALSE
30,Life’s A Bitch,Nas ft. A.Z.,Nas ft. A.Z.,1994,male,20,3,0,2,0,1,0,TRUE,FALSE
31,Triumph,Wu-Tang Clan,Wu-Tang Clan,1997,male,18,3,1,0,0,2,0,FALSE,FALSE
